name,url,state,revenue,growth_%,industry,workers,founded,yrs_on_list,city
TISTA Science and Technology,tistatech.com,Maryland,13100000.0,303,Government Services,485,2005,9,Rockville
Schweiger Dermatology Group,schweigerderm.com,New York,9400000.0,302,Health,750,2010,3,Long Island City
10th Magnitude,10thmagnitude.com,Illinois,1800000.0,302,IT Management,80,2010,4,Chicago
Rankings.io,rankings.io,Illinois,300000.0,301,Advertising & Marketing,16,2013,2,O'Fallon
Complete Recovery Corp,completerecoverycorp.com,Utah,800000.0,301,Consumer Products & Services,103,2003,3,Taylorsville
Aerospace Asset Trading,aerospaceasset.com,Florida,3600000.0,301,Business Products & Services,32,2013,2,Miami
Select Communications,http://selectcommunications.com,Texas,200000.0,301,Telecommunications,10,2014,1,Austin
DJB Hospitality Holding Co/Sedona Taphouse Restaurants,sedonataphouse.com,Virginia,3000000.0,301,Food & Beverage,825,2011,1,Richmond
Aya Healthcare,http://ayahealthcare.com,California,56600000.0,301,Health,779,2001,1,San Diego
NovuHealth,novu.com,Minnesota,4400000.0,301,Health,161,2011,2,Minneapolis
Bookkeeper360,bookkeeper360.com,New York,300000.0,300,Financial Services,35,2012,2,Woodbury
Guaba,xo.agency,California,200000.0,300,Advertising & Marketing,18,2014,1,Los Angeles
Gasket Guy,gasketguy.com,Georgia,600000.0,300,Construction,6,1994,2,Norcross
Industrial Security Integrators,dodsecurity.com,Virginia,600000.0,300,Government Services,41,2010,2,Herndon
Advanced Care Partners,http://advancedcarepartners.com,Georgia,1500000.0,300,Health,804,2010,1,Atlanta
Greentek Energy Systems,greentekenergysystems.com,Georgia,1700000.0,300,Energy,27,2011,3,Atlanta
Advanced Technological Solutions,atsdelivered.com,Alabama,400000.0,300,IT System Development,31,2013,1,Prattville
Lentech,lentechinc.com,New Mexico,1400000.0,299,Government Services,90,2008,1,ALBUQUERQUE
Triplepoint Environmental,tpenv.com,Illinois,300000.0,299,Environmental Services,8,2014,1,Oak Park
Tango Card,tangocard.com,Washington,2400000.0,299,Software,94,2009,4,Seattle
Assure,assure.co,Utah,1100000.0,299,Financial Services,53,2014,1,Salt Lake City
Index Exchange,indexexchange.com,New York,12700000.0,299,Advertising & Marketing,433,2011,1,New York
Beddy's,beddys.com,Utah,700000.0,299,Consumer Products & Services,10,2014,2,West Jordan
Capital Wealth Advisors,capitalwealthadvisors.com,Florida,800000.0,298,Financial Services,45,2004,3,Naples
PureCars Automotive,purecars.com,Georgia,15600000.0,298,Advertising & Marketing,221,2007,6,Atlanta
SaviLinx,savilinx.com,Maine,1700000.0,298,Business Products & Services,450,2013,3,Brunswick
CloserIQ,closeriq.com,New York,200000.0,298,Business Products & Services,28,2014,1,New York
Kamind IT,http://kamind.com,Oregon,200000.0,297,IT Management,9,2009,1,Lake Oswego
Ascent Innovations,ascent365.com,Illinois,300000.0,296,IT System Development,38,2009,1,Schaumberg
ITProTV,itpro.tv,Florida,900000.0,296,Education,68,2013,2,Gainesville
Lynker Technologies,lynker.com,Virginia,2500000.0,296,Government Services,235,2007,4,Leesburg
Motifworks,motifworks.com,Maryland,400000.0,296,Software,105,2010,2,TOWSON
Symmetry Financial Group,sfglife.com,North Carolina,4400000.0,296,Insurance,50,2009,4,Swannnanoa
Zilker Technology,ztech.io,Texas,2500000.0,296,IT System Development,211,2014,1,Austin
StruXure Outdoor,struxure.com,Georgia,1500000.0,296,Manufacturing,51,2011,1,Dahlonega
Tiger Analytics,tigeranalytics.com,California,1300000.0,296,Software,250,2011,2,Santa Clara
Brandywine Homes,brandywine-homes.com,California,13000000.0,295,Real Estate,33,1994,1,Irvine
Paragon Payroll,paragonpayroll.com,Texas,400000.0,295,Business Products & Services,17,2007,1,Midlothian
FluentStream Technologies,fluentstream.com,Colorado,700000.0,294,Telecommunications,41,2010,2,Denver
Youtech,youtechagency.com,Illinois,500000.0,294,Advertising & Marketing,40,2012,1,Naperville
Kentech,http://ekentech.com,Illinois,600000.0,293,Security,45,2006,3,Chicago
Pixability,pixability.com,Massachusetts,3800000.0,293,Advertising & Marketing,83,2008,5,Boston
Osprey Management,contractosprey.com,Georgia,900000.0,293,Construction,9,2001,1,Marietta
Medical Guardian,medicalguardian.com,Pennsylvania,4600000.0,292,Health,237,2005,7,Philadelphia
Fastmore Logistics,fastmore.com,Illinois,6000000.0,292,Logistics & Transportation,85,2005,3,Elk Grove Village
Matt Curtis Real Estate,mattcurtisrealestate.com,Alabama,500000.0,292,Real Estate,65,2009,3,Madison
PetWell Partners,petwellpartners.com,Texas,3400000.0,292,Health,442,2013,1,Houston
Ventech Solutions,ventechsolutions.com,Ohio,14400000.0,292,IT Management,425,2002,9,Columbus
Unitas Global,unitasglobal.com,California,4100000.0,292,IT Management,117,2011,3,Los Angeles
PowerSchool,powerschool.com,California,36100000.0,291,Education,2000,1997,1,Folsom
Vantage Payments,vantagepayments.com,Arizona,1400000.0,291,Financial Services,9,2009,6,Scottsdale
Staffing Specifix,staffingspecifix.com,Florida,800000.0,291,Human Resources,367,2011,3,Miami
Restoration 1,restoration1.com,Texas,700000.0,291,Construction,18,2008,1,Waco
Acorio,acorio.com,Massachusetts,2500000.0,291,Business Products & Services,178,2013,2,Boston
Veterinary Practice Partners,vetpartners.com,Pennsylvania,10400000.0,290,Business Products & Services,1070,2011,4,King of Prussia
Research America,researchamericainc.com,Pennsylvania,1400000.0,290,Advertising & Marketing,300,2009,5,Newtown Square
Amicus Enterprises,http://grizly.com,California,600000.0,290,Media,5,2014,1,Carlsbad
Opex Analytics,opexanalytics.com,Illinois,1400000.0,290,Business Products & Services,80,2013,2,Evanston
Marijuana Business Daily,mjbizdaily.com,Colorado,2800000.0,290,Media,58,2011,4,Lakewood
Xtreme Park Adventures,xtremeparkadventures.com,North Carolina,200000.0,290,Consumer Products & Services,40,2009,2,durham
Adonis Auto Group,adonisautogroup.com,Texas,3000000.0,290,Logistics & Transportation,70,2010,1,Grand Prairie
Prescient Company,prescientco.com,North Carolina,5400000.0,290,Construction,350,2012,1,Durham
